Cage,Colony,Dose,Methanol,Dimethoate,Dead24h,Alive24h,Dead48h,Alive48h,InitialNumber
No.M.1,1,0,0,0,0,22,0,22,22
No.M.2,2,0,0,0,1,27,1,27,28
No.M.3,3,0,0,0,0,37,0,37,37
No.M.4,4,0,0,0,0,34,1,33,34
No.M.5,5,0,0,0,0,21,0,21,21
M.1,1,0,1,0,0,32,4,28,32
M.2,2,0,1,0,0,20,1,19,20
M.3,3,0,1,0,0,39,3,36,39
M.4,4,0,1,0,2,25,6,21,27
M.5,5,0,1,0,1,23,3,21,24
5.Chlor.1,1,5,1,0,3,22,6,19,25
5.Chlor.2,2,5,1,0,0,31,5,26,31
5.Chlor.3,3,5,1,0,0,34,4,30,34
5.Chlor.4,4,5,1,0,0,24,0,24,24
5.Chlor.5,5,5,1,0,0,27,10,17,27
15.Chlor.1,1,15,1,0,0,17,7,10,17
15.Chlor.2,2,15,1,0,0,18,1,17,18
15.Chlor.3,3,15,1,0,0,21,5,16,21
15.Chlor.4,4,15,1,0,0,25,0,25,25
15.Chlor.5,5,15,1,0,1,22,1,22,23
65.Chlor.1,1,65,1,0,2,19,5,16,21
65.Chlor.2,2,65,1,0,0,14,0,14,14
65.Chlor.3,3,65,1,0,2,15,2,15,17
65.Chlor.4,4,65,1,0,2,22,6,18,24
65.Chlor.5,5,65,1,0,1,20,6,15,21
250.Chlor.1,1,250,1,0,7,9,9,7,16
250.Chlor.2,2,250,1,0,1,23,2,22,24
250.Chlor.3,3,250,1,0,4,13,12,5,17
250.Chlor.4,4,250,1,0,2,15,2,15,17
250.Chlor.5,5,250,1,0,1,23,2,22,24
Di.1,1,0,0,1,22,0,22,0,22
Di.2,2,0,0,1,16,0,16,0,16
Di.3,3,0,0,1,19,0,19,0,19
Di.4,4,0,0,1,23,0,23,0,23
Di.5,5,0,0,1,26,0,26,0,26
