Cage,Colony,AIConc,Methanol,Dimethoate,TotalBees,D24H,D48H
CC.1,One,0,0,0,20,0,0
MC.1,One,0,1,0,20,0,0
PC.1,One,0,1,1,30,30,30
D5.1,One,5,1,0,22,0,1
D15.1,One,15,1,0,28,0,1
D65.1,One,65,1,0,21,0,0
D250.1,One,250,1,0,33,0,1
CC.2,Two,0,0,0,13,0,11
MC.2,Two,0,1,0,19,0,0
PC.2,Two,0,1,1,20,20,20
D5.2,Two,5,1,0,20,0,2
D15.2,Two,15,1,0,27,0,2
D65.2,Two,65,1,0,17,0,0
D250.2,Two,250,1,0,22,0,1
CC.3,Three,0,0,0,22,0,4
MC.3,Three,0,1,0,28,0,1
PC.3,Three,0,1,1,29,29,29
D5.3,Three,5,1,0,36,0,19
D15.3,Three,15,1,0,27,0,4
D65.3,Three,65,1,0,28,0,0
D250.3,Three,250,1,0,26,0,14
CC.4,Four,0,0,0,19,0,2
MC.4,Four,0,1,0,24,0,5
PC.4,Four,0,1,1,34,34,34
D5.4,Four,5,1,0,31,0,4
D15.4,Four,15,1,0,27,0,13
D65.4,Four,65,1,0,24,0,1
D250.4,Four,250,1,0,32,0,1
CC.5,Five,0,0,0,10,0,0
MC.5,Five,0,1,0,18,0,0
PC.5,Five,0,1,1,20,20,20
D5.5,Five,5,1,0,28,0,5
D15.5,Five,15,1,0,21,0,0
D65.5,Five,65,1,0,10,0,2
D250.5,Five,250,1,0,12,1,1
